xy,z,val
-40.9272 -81.657,39.4963,-5.89099e-06
-40.9272 -81.657,39.1969,-6.74079e-07
-40.9272 -81.657,38.8975,-4.05399e-06
-40.9272 -81.657,38.5981,-1.95899e-06
-40.9272 -81.657,38.2988,9.64032e-06
-40.9272 -81.657,37.9994,-1.44476e-06
-40.9272 -81.657,37.7,-2.92813e-06
-40.9272 -81.657,37.4006,-4.9656e-06
-40.9272 -81.657,37.1012,-4.72225e-06
-40.9272 -81.657,36.8019,-4.55963e-06
-40.9272 -81.657,36.5025,2.20401e-05
-40.9272 -81.657,36.2031,1.0703e-06
-40.9272 -81.657,35.9037,2.07149e-05
-40.9272 -81.657,35.6043,5.4153e-05
-40.9272 -81.657,35.3049,2.64168e-05
-40.9272 -81.657,35.0056,9.59119e-07
-40.9272 -81.657,34.7062,1.3323e-05
-40.9272 -81.657,34.4068,5.65411e-07
-40.9272 -81.657,34.1074,1.8614e-05
-40.9272 -81.657,33.808,1.22028e-05
-40.9272 -81.657,33.5087,3.94998e-05
-40.9272 -81.657,33.2093,7.8647e-06
-40.9272 -81.657,32.9099,1.26677e-05
-40.9272 -81.657,32.6105,6.78639e-05
-40.9272 -81.657,32.3111,1.31913e-05
-40.9272 -81.657,32.0117,3.25901e-05
-40.9272 -81.657,31.7124,6.2374e-06
-40.9272 -81.657,31.413,9.9092e-06
-40.9272 -81.657,31.1136,1.86492e-05
-40.9272 -81.657,30.8142,1.11904e-05
-40.9272 -81.657,30.5148,2.53719e-06
-40.9272 -81.657,30.2155,8.15264e-06
-40.9272 -81.657,29.976,-1.04774e-05
-40.9272 -81.657,29.7963,-4.73192e-06
-40.9272 -81.657,29.6167,0.000117155
-40.9272 -81.657,29.4371,4.80312e-05
-40.9272 -81.657,29.2574,1.08874e-05
-40.9272 -81.657,29.0778,-5.25111e-06
-40.9272 -81.657,28.8982,-1.16687e-06
-40.9272 -81.657,28.7185,9.098e-05
-40.9272 -81.657,28.5389,1.49085e-05
-40.9272 -81.657,28.3593,-5.55712e-08
-40.9272 -81.657,28.1797,0.000186768
-40.9272 -81.657,28.0,9.92801e-05
-40.9272 -81.657,27.8204,9.14379e-05
-40.9272 -81.657,27.6408,1.99528e-05
-40.9272 -81.657,27.4611,1.43066e-06
-40.9272 -81.657,27.2815,7.12874e-05
-40.9272 -81.657,27.1019,0.00016274
-40.9272 -81.657,26.9223,0.0001386
-40.9272 -81.657,26.7426,8.0004e-05
-40.9272 -81.657,26.563,3.00187e-06
-40.9272 -81.657,26.3834,-2.45571e-06
-40.9272 -81.657,26.2037,4.81632e-05
-40.9272 -81.657,26.0241,1.14497e-05
-40.9272 -81.657,25.8445,7.58006e-05
-40.9272 -81.657,25.6649,1.98726e-05
-40.9272 -81.657,25.4852,-4.71387e-06
-40.9272 -81.657,25.3056,-4.11953e-06
-40.9272 -81.657,25.126,2.86712e-05
-40.9272 -81.657,24.9463,5.37066e-05
-40.9272 -81.657,24.7667,7.67498e-05
-40.9272 -81.657,24.5871,1.67937e-05
-40.9272 -81.657,24.4075,1.93597e-05
-40.9272 -81.657,24.2278,1.10011e-06
-40.9272 -81.657,24.0482,-2.82895e-06
-40.9272 -81.657,23.8686,-1.38708e-05
-40.9272 -81.657,23.6889,0.000106127
-40.9272 -81.657,23.5093,0.000102013
-40.9272 -81.657,23.3297,1.19341e-05
-40.9272 -81.657,23.1501,4.61437e-06
-40.9272 -81.657,22.9704,-9.1024e-07
-40.9272 -81.657,22.7908,-3.64036e-06
-40.9272 -81.657,22.6112,0.000148008
-40.9272 -81.657,22.4315,0.000177208
-40.9272 -81.657,22.2519,5.13994e-05
-40.9272 -81.657,22.0723,0.000152958
-40.9272 -81.657,21.8926,0.000149701
-40.9272 -81.657,21.713,8.3654e-05
-40.9272 -81.657,21.5334,5.28585e-05
-40.9272 -81.657,21.3538,1.53574e-05
-40.9272 -81.657,21.1741,0.000114606
-40.9272 -81.657,20.9945,6.26816e-05
-40.9272 -81.657,20.8149,2.14461e-05
-40.9272 -81.657,20.6352,5.27821e-06
-40.9272 -81.657,20.4556,5.9498e-05
-40.9272 -81.657,20.276,0.000139969
-40.9272 -81.657,20.1562,8.02574e-05
-40.9272 -81.657,20.0964,5.38252e-06
-40.9272 -81.657,20.0365,2.22377e-06
-40.9272 -81.657,19.9766,9.67467e-05
-40.9272 -81.657,19.9167,0.000465852
-40.9272 -81.657,19.8569,0.000445906
-40.9272 -81.657,19.797,6.74498e-05
-40.9272 -81.657,19.7371,-2.42275e-05
-40.9272 -81.657,19.6772,7.07969e-06
-40.9272 -81.657,19.6173,0.000259386
-40.9272 -81.657,19.5575,0.000239618
-40.9272 -81.657,19.4976,2.6478e-05
-40.9272 -81.657,19.4377,1.61587e-05
-40.9272 -81.657,19.3778,-6.05143e-06
-40.9272 -81.657,19.318,-7.71718e-06
-40.9272 -81.657,19.2581,-9.95026e-06
-40.9272 -81.657,19.1982,1.97098e-06
-40.9272 -81.657,19.1383,-1.43155e-06
-40.9272 -81.657,19.0785,3.73289e-05
-40.9272 -81.657,19.0186,9.98664e-05
-40.9272 -81.657,18.9587,6.52728e-05
-40.9272 -81.657,18.8988,5.85341e-06
-40.9272 -81.657,18.839,0.000460183
-40.9272 -81.657,18.7791,0.000470073
-40.9272 -81.657,18.7192,0.000542667
-40.9272 -81.657,18.6593,0.000544773
-40.9272 -81.657,18.5995,0.000284045
-40.9272 -81.657,18.5396,0.000338967
-40.9272 -81.657,18.4797,0.000274863
-40.9272 -81.657,18.4198,0.000213635
-40.9272 -81.657,18.3599,6.88368e-05
-40.9272 -81.657,18.3001,5.49437e-05
-40.9272 -81.657,18.2402,-2.52051e-05
-40.9272 -81.657,18.1803,-2.19534e-05
-40.9272 -81.657,18.1204,6.71393e-05
-40.9272 -81.657,18.0606,7.47697e-05
-40.9272 -81.657,18.0007,0.000174388
-40.9272 -81.657,17.9408,0.00017979
-40.9272 -81.657,17.8809,0.000146285
-40.9272 -81.657,17.8211,0.000285713
-40.9272 -81.657,17.7612,0.000155997
-40.9272 -81.657,17.7013,5.66876e-06
-40.9272 -81.657,17.6414,-6.60455e-07
-40.9272 -81.657,17.5816,-6.96683e-06
-40.9272 -81.657,17.5217,-1.55562e-06
-40.9272 -81.657,17.4618,5.68598e-05
-40.9272 -81.657,17.4019,4.01916e-05
-40.9272 -81.657,17.342,-8.36072e-06
-40.9272 -81.657,17.2822,0.000132293
