time,z
25097220.2092,329.396
25097220.2675,327.964
25097220.3212,327.745
25097220.3774,326.325
25097220.4181,326.57
25097220.4706,326.023
25097220.5097,325.582
25097220.5459,326.46
25097220.6072,324.003
25097220.6589,337.966
25097220.7118,324.409
25097220.7639,324.039
25097220.8188,323.553
25097220.8561,324.43
25097220.8881,324.195
25097220.9247,323.998
25097220.9438,324.606
25097220.9739,324.8
25097221.0129,326.916
25097221.0699,329.861
25097221.1246,336.39
25097221.1809,332.29
25097221.2336,325.979
25097221.2877,325.453
25097221.3406,325.544
25097221.3931,325.723
25097221.4489,325.333
25097221.4968,325.197
25097221.5503,325.618
25097221.5985,328.475
25097221.6428,327.971
25097221.6928,327.688
25097221.7486,327.286
25097221.8004,327.692
25097221.8531,326.652
25097221.9069,326.738
25097221.9572,326.71
25097222.0141,326.109
25097222.0724,329.924
25097222.126,324.59
25097222.1796,322.257
25097222.2316,321.722
25097222.281,326.746
25097222.337,324.052
25097222.3926,324.212
25097222.4464,332.088
25097222.4952,326.386
25097222.5517,327.603
25097222.6061,329.308
25097222.6643,328.393
25097222.7238,328.232
25097222.7835,329.405
25097222.8398,342.243
25097222.896,330.838
25097222.9538,331.459
25097223.0091,331.6
25097223.0618,332.151
25097223.116,332.801
25097223.1708,333.812
25097223.2299,347.092
25097223.2831,334.486
25097223.3377,335.054
25097223.3901,335.286
25097223.443,334.783
25097223.497,334.906
25097223.551,348.11
25097223.6085,332.909
25097223.668,331.795
25097223.7222,333.994
25097223.7819,333.649
25097223.8335,330.58
25097223.8815,329.877
25097223.93,329.843
25097223.9843,331.675
25097224.0401,329.793
25097224.0776,324.108
25097224.1376,327.899
25097224.1937,328.008
25097224.251,333.281
25097224.3057,326.682
25097224.3606,325.95
25097224.4243,325.767
25097224.5027,325.9
25097224.5686,324.951
25097224.6403,342.299
25097224.707,324.194
25097224.7745,324.483
25097224.8508,323.79
25097224.9061,323.851
25097224.9634,327.977
25097225.0202,321.93
25097225.0718,321.398
25097225.1236,320.836
25097225.1753,319.895
25097225.2287,317.662
25097225.294,317.666
25097225.3469,317.323
25097225.3977,316.951
25097225.4482,316.557
25097225.4999,317.221
25097225.5493,318.129
25097225.6036,325.054
25097225.6536,316.717
25097225.7062,314.863
25097225.7575,315.835
25097225.8066,311.787
25097225.859,305.894
25097225.9112,305.593
25097225.967,305.068
25097226.0217,282.051
25097226.0785,283.722
25097226.1127,277.137
25097226.1212,277.093
25097226.1924,302.974
25097226.2537,288.948
25097226.3087,301.605
25097226.3654,304.974
25097226.4214,304.66
25097226.4792,305.472
25097226.5348,310.85
25097226.5907,303.631
25097226.645,298.474
25097226.7008,304.36
25097226.7583,320.184
25097226.8202,313.479
25097226.8791,333.075
25097226.9387,314.181
25097226.9966,313.109
25097227.0554,315.581
25097227.1096,313.776
25097227.1568,313.401
25097227.2135,328.058
25097227.2703,318.861
25097227.3188,312.702
25097227.3745,314.155
25097227.425,326.768
25097227.484,308.125
25097227.5435,284.099
25097227.5956,283.704
25097227.6573,283.242
25097227.7127,298.19
25097227.7732,315.369
25097227.8332,336.128
25097227.8924,335.646
25097227.9476,319.522
25097228.0056,319.595
25097228.0603,319.916
25097228.1176,319.882
25097228.1782,319.982
25097228.2404,321.181
25097228.2915,320.197
25097228.3451,322.04
25097228.3961,323.268
25097228.4556,323.71
25097228.5056,321.698
25097228.5608,322.405
25097228.6179,337.984
25097228.6766,325.112
25097228.732,322.127
25097228.7852,322.003
25097228.8424,323.119
25097228.8986,322.363
25097228.9518,322.191
25097229.0063,322.506
25097229.0597,321.603
25097229.1092,334.199
25097229.1657,327.75
25097229.2238,322.31
25097229.2815,342.236
25097229.3382,323.127
25097229.3928,323.3
25097229.4506,323.716
25097229.5045,323.621
25097229.5607,334.32
25097229.6091,323.443
25097229.657,323.875
25097229.7078,324.091
25097229.7678,324.838
25097229.8277,324.788
25097229.8857,324.743
25097229.9485,329.104
25097230.0142,326.184
25097230.0702,327.541
25097230.1211,329.174
25097230.1768,349.742
25097230.2346,339.282
25097230.288,328.325
25097230.3507,336.939
25097230.409,330.03
25097230.4718,345.703
25097230.5313,347.488
25097230.5895,332.786
25097230.6468,348.602
25097230.7046,335.254
25097230.7665,335.899
25097230.8224,333.759
25097230.867,359.885
25097230.927,339.771
25097230.9887,341.834
25097231.0483,341.677
25097231.1033,360.459
