xy,z,val
36.1605 -27.7042,39.4963,1.05394e-06
36.1605 -27.7042,39.1969,-4.2401e-07
36.1605 -27.7042,38.8975,-1.71003e-06
36.1605 -27.7042,38.5981,-2.15152e-08
36.1605 -27.7042,38.2988,2.99958e-05
36.1605 -27.7042,37.9994,1.82652e-05
36.1605 -27.7042,37.7,1.31593e-05
36.1605 -27.7042,37.4006,2.03789e-06
36.1605 -27.7042,37.1012,-2.73795e-06
36.1605 -27.7042,36.8019,1.77035e-05
36.1605 -27.7042,36.5025,1.70046e-05
36.1605 -27.7042,36.2031,2.96263e-05
36.1605 -27.7042,35.9037,6.61678e-05
36.1605 -27.7042,35.6043,9.50674e-06
36.1605 -27.7042,35.3049,3.78513e-05
36.1605 -27.7042,35.0056,1.20032e-05
36.1605 -27.7042,34.7062,2.46373e-06
36.1605 -27.7042,34.4068,1.44689e-05
36.1605 -27.7042,34.1074,2.36947e-05
36.1605 -27.7042,33.808,1.6247e-06
36.1605 -27.7042,33.5087,3.87304e-07
36.1605 -27.7042,33.2093,3.98628e-06
36.1605 -27.7042,32.9099,-1.6872e-06
36.1605 -27.7042,32.6105,1.83345e-05
36.1605 -27.7042,32.3111,1.10238e-05
36.1605 -27.7042,32.0117,1.90109e-05
36.1605 -27.7042,31.7124,1.04137e-06
36.1605 -27.7042,31.413,-2.55771e-06
36.1605 -27.7042,31.1136,2.26698e-05
36.1605 -27.7042,30.8142,3.59019e-05
36.1605 -27.7042,30.5148,5.94648e-05
36.1605 -27.7042,30.2155,6.08643e-05
36.1605 -27.7042,29.976,7.4976e-06
36.1605 -27.7042,29.7963,1.80663e-05
36.1605 -27.7042,29.6167,7.08219e-06
36.1605 -27.7042,29.4371,-7.20119e-06
36.1605 -27.7042,29.2574,-1.03704e-06
36.1605 -27.7042,29.0778,-3.06917e-06
36.1605 -27.7042,28.8982,7.94721e-07
36.1605 -27.7042,28.7185,1.27056e-05
36.1605 -27.7042,28.5389,0.000234325
36.1605 -27.7042,28.3593,0.000189049
36.1605 -27.7042,28.1797,0.000180327
36.1605 -27.7042,28.0,0.000104344
36.1605 -27.7042,27.8204,1.74264e-05
36.1605 -27.7042,27.6408,5.16615e-06
36.1605 -27.7042,27.4611,0.000122976
36.1605 -27.7042,27.2815,2.54491e-05
36.1605 -27.7042,27.1019,2.17889e-06
36.1605 -27.7042,26.9223,-4.77705e-07
36.1605 -27.7042,26.7426,-8.57322e-06
36.1605 -27.7042,26.563,1.04556e-05
36.1605 -27.7042,26.3834,1.24539e-06
36.1605 -27.7042,26.2037,-2.94823e-07
36.1605 -27.7042,26.0241,0.000124048
36.1605 -27.7042,25.8445,2.54046e-05
36.1605 -27.7042,25.6649,5.4991e-05
36.1605 -27.7042,25.4852,0.00014046
36.1605 -27.7042,25.3056,2.98005e-05
36.1605 -27.7042,25.126,3.22325e-05
36.1605 -27.7042,24.9463,6.44743e-06
36.1605 -27.7042,24.7667,-5.38419e-06
36.1605 -27.7042,24.5871,2.69587e-06
36.1605 -27.7042,24.4075,-2.39742e-06
